,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
476,Product Marketing,25,Nigeria,Africa,Employed, No- I have not ,"Email,LinkedIn",10-15 hours,english  ,referral
477,Product Design,30,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
478,Product Design,23,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
479,Product Design,21,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,no  ,linkedin
480,Product Development,23,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"LinkedIn,Email",10-15 hours,english  ,referral
481,Product Growth,24,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,10-15 hours,english  ,linkedin
482,Product Design,20,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,discord
483,Product Design,25,Nigeria,Africa,University Student, No- I have not ,"Email,WhatsApp",20-25 hours,english  ,referral
484,Product Design,21,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,linkedin
485,"Product Marketing,Product Design,Product Development",28,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
486,"Product Growth ,Product Development,Product Design",22,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
487,"Product Design,Product Marketing,Product Growth ",25,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",20-25 hours,english  ,referral
488,Product Design,21,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
489,"Product Design,Product Development",26,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
490,Product Design,26,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
491,Product Marketing,28,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,no  ,twitter
492,Product Design,25,Nigeria,Africa,Currently Unemployed, No- I have not ,WhatsApp,10-15 hours,english  ,referral
493,Product Design,23,Nigeria,Africa,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,referral
494,Product Design,23,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"LinkedIn,WhatsApp,Email",15-20 hours,english  ,linkedin
495,"Product Development,Product Design",22,Nigeria,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,Instagram",10-15 hours,no  ,referral
496,"Product Marketing,Product Design,Product Development,Product Growth ",29,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,english  ,twitter
497,"Product Marketing,Product Development,Product Growth ",22,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,english  ,linkedin
498,"Product Marketing,Product Design,Product Development,Product Growth ",30,Nigeria,Africa,Employed, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,referral
499,Product Design,27,Nigeria,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,english  ,referral
500,Product Design,20,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,linkedin
501,Product Design,23,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"LinkedIn,Email",15-20 hours,english  ,referral
502,Product Development,27,Nigeria,Africa,Employed, Yes- I have completed multiple such courses ,"LinkedIn,WhatsApp,Email",10-15 hours,no  ,linkedin
503,Product Design,19,Nigeria,Africa,University Student, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,referral
504,Product Design,28,Nigeria,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,referral
505,Product Design,20,Nigeria,Africa,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,LinkedIn",15-20 hours,english  ,referral
506,"Product Marketing,Product Growth ",22,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,referral
507,Product Design,22,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
508,Product Marketing,23,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
509,"Product Development,Product Growth ",23,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,referral
510,Product Design,23,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,english  ,linkedin
511,Product Marketing,21,Nigeria,Africa,University Student, No- I have not ,"WhatsApp,Email,LinkedIn",15-20 hours,english  ,referral
512,Product Development,22,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,15-20 hours,english  ,whatsapp
513,Product Design,22,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,None  ,linkedin
514,"Product Marketing,Product Development,Product Growth ",28,Nigeria,Africa,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",20-25 hours,english  ,referral
515,Product Development,25,Nigeria,Africa,University Student, No- I have not ,"WhatsApp,Email,Instagram,LinkedIn",10-15 hours,english  ,referral
516,Product Design,20,Nigeria,Africa,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
517,Product Development,24,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",20-25 hours,english  ,linkedin
518,Product Development,22,Nigeria,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,english  ,linkedin
519,Product Development,18,Nigeria,Africa,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,referral
520,Product Marketing,25,North Cyprus,Europe,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,russian  ,linkedin
521,Product Design,32,North Macedonia,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,"LinkedIn,Email",20-25 hours,english  ,referral
522,Product Growth,20,North Macedonia,Europe,University Student, No- I have not ,Email,15-20 hours,None  ,linkedin
523,Product Marketing,21,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,linkedin
524,"Product Development,Product Marketing",16,Pakistan,APAC,High School Student, No- I have not ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
525,Product Development,20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,None  ,linkedin
526,"Product Marketing,Product Design",19,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",10-15 hours,no  ,referral
527,"Product Development,Product Growth ",20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,english  ,linkedin
528,Product Design,20,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Instagram,Email,LinkedIn",20-25 hours,english  ,referral
529,Product Marketing,24,Pakistan,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,indeed
530,Product Development,19,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,hindi  ,linkedin
531,Product Development,24,Pakistan,APAC,University Student, No- I have not ,Email,10-15 hours,no  ,referral
532,Product Design,27,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,LinkedIn",15-20 hours,english  ,referral
533,Product Marketing,24,Pakistan,APAC,Employed, No- I have not ,"WhatsApp,LinkedIn,Email",15-20 hours,english  ,linkedin
534,"Product Marketing,Product Design",25,Pakistan,APAC,Currently Unemployed, No- I have not ,"Email,WhatsApp",10-15 hours,no  ,linkedin
535,"Product Development,Product Growth ",21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Instagram,LinkedIn,WhatsApp,Email",15-20 hours,english  ,linkedin
536,Product Marketing,20,Pakistan,APAC,High School Student, No- I have not ,"Email,WhatsApp",10-15 hours,None  ,referral
537,"Product Marketing,Product Design,Product Development,Product Growth ",24,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,None  ,referral
538,"Product Development,Product Design",23,Pakistan,APAC,University Student, No- I have not ,WhatsApp,15-20 hours,english  ,linkedin
539,"Product Development,Product Growth ,Product Design,Product Marketing",21,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,None  ,referral
540,Product Development,20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",20-25 hours,no  ,linkedin
541,Product Marketing,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Instagram",10-15 hours,no  ,indeed
542,Product Design,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
543,Product Marketing,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
544,Product Design,22,Pakistan,APAC,Currently Unemployed, No- I have not ,WhatsApp,10-15 hours,None  ,indeed
545,"Product Design,Product Development,Product Growth ",22,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Instagram,Email",15-20 hours,None  ,linkedin
546,"Product Design,Product Marketing",25,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",10-15 hours,None  ,indeed
547,Product Development,23,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",10-15 hours,None  ,linkedin
548,"Product Marketing,Product Growth ",24,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,15-20 hours,None  ,referral
549,"Product Marketing,Product Development,Product Growth ",26,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,indeed
550,Product Marketing,24,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,15-20 hours,"english,hindi ",referral
551,Product Marketing,21,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",20-25 hours,english  ,linkedin
552,Product Development,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,no  ,instagram
553,"Product Growth ,Product Marketing",19,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",15-20 hours,no  ,google
554,"Product Design,Product Marketing,Product Growth ",21,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,instagram
555,"Product Development,Product Growth ",20,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,no  ,linkedin
556,"Product Marketing,Product Growth ",20,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,referral
557,Product Development,23,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email,Instagram",10-15 hours,None  ,referral
558,"Product Marketing,Product Design",24,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,referral
559,Product Design,24,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,english  ,referral
560,Product Design,23,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,None  ,referral
