,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
11,Product Design,33,Azerbaijan,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
12,Product Development,24,Bangladesh,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,no  ,linkedin
13,Product Design,19,Bangladesh,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
14,Product Marketing,36,Bangladesh,APAC,Currently Unemployed, No- I have not ,WhatsApp,10-15 hours,english  ,referral
15,"Product Design,Product Development",24,Bangladesh,APAC,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,bangla  ,linkedin
16,Product Marketing,21,Bangladesh,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",20-25 hours,english  ,indeed
17,Product Development,23,Bangladesh,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",15-20 hours,english  ,referral
18,Product Development,23,Bangladesh,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,bangla  ,linkedin
19,"Product Marketing,Product Growth ",24,Bangladesh,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Instagram,LinkedIn,Email",15-20 hours,no  ,linkedin
20,Product Marketing,25,Bangladesh,APAC,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",10-15 hours,bengali  ,linkedin
21,"Product Marketing,Product Design,Product Development,Product Growth ",24,Bangladesh,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,referral
22,Product Marketing,19,Bangladesh,APAC,University Student, No- I have not ,"Email,WhatsApp,LinkedIn",15-20 hours,bengali  ,referral
23,Product Design,25,Bangladesh,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn",10-15 hours,no  ,referral
24,Product Design,27,Belgium,Europe,Employed, Yes- I have completed multiple such courses ,Email,15-20 hours,None  ,web
25,Product Development,35,Brazil,Americas,Employed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",15-20 hours,portuguese  ,linkedin
26,Product Development,36,Brazil,Americas,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,no  ,referral
27,Product Development,36,Brazil,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,"english,portuguese ",linkedin
28,"Product Marketing,Product Design,Product Growth ,Product Development",26,Brazil,Americas,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,None  ,linkedin
29,Product Design,24,Brazil,Americas,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,None  ,linkedin
30,"Product Development,Product Design,Product Growth ",21,Brazil,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn,Instagram",20-25 hours,portuguese  ,linkedin
31,"Product Design,Product Marketing",30,Brazil,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,None  ,referral
